name,location,province,description,category,latitude,longitude
Knuckles Mountain Range,Matale,Central,Misty mountains resembling knuckles with diverse microclimates and hiking trails.,Natural Attractions,7.4748,80.6447
Pidurutalagala,Nuwara Eliya,Central,"Sri Lanka's highest mountain at 2,524m with a telecommunications complex on top.",Natural Attractions,6.9497,80.7891
Riverston,Matale,Central,Off-the-beaten-path mountain area with 'mini world's end' views and hiking trails.,Natural Attractions,7.3768,80.4665
St. Clair's Falls,Talawakele,Central,Widest waterfall in Sri Lanka known as the 'Little Niagara' with twin falls.,Natural Attractions,7.3902,80.5688
Devon Falls,Hatton,Central,"A picturesque waterfall visible from the Hatton-Nuwara Eliya road, named after a English pioneer.",Natural Attractions,7.3118,80.7458
Bopath Ella Falls,Kuruwita,Sabaragamuwa,Waterfall shaped like a Bo leaf (sacred fig) with a 30m drop.,Natural Attractions,6.7175,80.5751
Maha Eliya Plains,Nuwara Eliya,Central,High-altitude grasslands with rare montane vegetation and mist-covered landscapes.,Natural Attractions,6.9497,80.7891
Kirigalpotta,Nuwara Eliya,Central,"Second highest mountain in Sri Lanka at 2,395m with challenging hiking trails.",Natural Attractions,6.9497,80.7891
Totupola Kanda,Nuwara Eliya,Central,Third highest mountain in Sri Lanka located within Horton Plains National Park.,Natural Attractions,6.9497,80.7891
Ramboda Falls,Pussellawa,Central,"Three-tiered waterfall with a total height of 109m, visible from the main road.",Natural Attractions,7.2952,80.5218
Bomburu Ella Falls,Welimada,Uva,Collection of 500 small waterfalls forming a stunning cascade during rainy season.,Natural Attractions,6.8618,81.3066
Lovers Leap Falls,Nuwara Eliya,Central,"30m waterfall named after a tragic legend, located near the Nuwara Eliya town.",Natural Attractions,6.9497,80.7891
Duwili Ella (Mist Falls),Badulla,Uva,Remote waterfall that completely vaporizes before hitting the ground during dry season.,Natural Attractions,6.7118,81.4737
Bakers Farm Hill,Bandarawela,Uva,Tea-covered hillside with panoramic views of the Badulla valley.,Natural Attractions,7.0894,81.3399
Lipton's Seat,Haputale,Uva,Panoramic viewpoint where Sir Thomas Lipton used to survey his tea empire.,Natural Attractions,6.9132,81.2474
Ambuluwawa Tower,Gampola,Central,Unique multi-religious tower on a biodiversity complex with 360-degree views.,Natural Attractions,7.2883,80.5176
Pitawala Pathana,Matale,Central,Unique flat grassland plateau in the Knuckles Range with endemic flora.,Natural Attractions,7.1760,80.8286
Lakegala Mountain,Meemure,Central,Challenging pyramid-shaped peak in the remote Knuckles wilderness area.,Natural Attractions,7.1167,80.6170
Hunnas Falls,Elkaduwa,Central,Series of cascades surrounded by tea plantations in the Knuckles foothills.,Natural Attractions,7.4214,80.7517
Nuwara Eliya,Nuwara Eliya,Central,"Sri Lanka's highest town with colonial architecture, cool climate, and flower gardens.",Hill Stations,6.9497,80.7891
Ella,Ella,Uva,Popular mountain village with views of Ella Gap and access to hiking trails.,Hill Stations,6.8667,81.0466
Haputale,Haputale,Uva,Misty mountain town on a steep ridge with panoramic views and tea plantations.,Hill Stations,6.9170,81.4781
Bandarawela,Bandarawela,Uva,"Pleasant hill country town with mild climate, popular for retirement and relaxation.",Hill Stations,6.8674,81.3269
Hatton,Hatton,Central,Central hub of Sri Lanka's tea country with colonial heritage and plantation access.,Hill Stations,7.4438,80.5701
Kandy,Kandy,Central,Historic last royal capital in the hills surrounding a scenic lake and sacred sites.,Hill Stations,7.2906,80.6337
Matale,Matale,Central,Gateway hill town to the Knuckles Mountain Range with spice gardens and temples.,Hill Stations,7.4822,80.7577
Badulla,Badulla,Uva,End point of the scenic hill country railway with colonial buildings and waterfalls.,Hill Stations,7.0848,81.3819
Pussellawa,Pussellawa,Central,Small hillside town surrounded by tea estates on the road to Nuwara Eliya.,Hill Stations,7.4389,80.5684
Dickoya,Dickoya,Central,Tranquil hill station with colonial bungalows and the scenic Castlereagh Reservoir.,Hill Stations,7.3784,80.6214
Maskeliya,Maskeliya,Central,Hill town serving as a base for climbing Adam's Peak with stunning reservoir views.,Hill Stations,7.3602,80.6771
Hali-Ela,Hali-Ela,Uva,Junction town in the cool highlands with railway heritage and natural attractions.,Hill Stations,6.9728,81.4594
Ambewela,Ambewela,Central,Known as 'Little New Zealand' for its dairy farms and rolling green pastures.,Hill Stations,7.2153,80.6516
Ohiya,Ohiya,Uva,Remote hill station with the highest railway station in Sri Lanka and misty forests.,Hill Stations,6.7950,81.4165
Welimada,Welimada,Uva,Agricultural hill town in a valley surrounded by vegetable farms and mountains.,Hill Stations,6.9968,81.4880
Koslanda,Koslanda,Uva,Quiet hill village with access to Diyaluma Falls and ancient forest monasteries.,Hill Stations,6.7258,81.4573
Deltota,Deltota,Central,Tea plantation town where James Taylor first planted commercial tea in Sri Lanka.,Hill Stations,7.4592,80.5585
Madulsima,Madulsima,Uva,Remote tea plantation area with stunning views and minimal tourist development.,Hill Stations,7.0246,81.5080
Diyatalawa,Diyatalawa,Uva,"Military town with a cool climate, popular for training and recreation.",Hill Stations,7.0693,81.4528
Patana,Haputale,Uva,Small settlement with vast grasslands (patanas) and panoramic mountain views.,Hill Stations,6.7336,81.3015
Haldummulla,Haldummulla,Uva,Hill country junction town on the old Colombo-Badulla main road with colonial history.,Hill Stations,6.8101,81.3502
Idalgashinna,Idalgashinna,Uva,Remote mountain pass with the third highest railway station and spectacular views.,Hill Stations,6.9903,81.1679
Royal Botanical Gardens,Peradeniya,Central,"Sri Lanka's largest botanical garden with over 4,000 plant species and giant Java fig avenue.",Gardens,7.2710,80.7577
Hakgala Botanical Gardens,Nuwara Eliya,Central,"Second largest gardens in Sri Lanka with roses, orchids, and fernery at high elevation.",Gardens,6.9497,80.7891
Henarathgoda Botanical Garden,Gampaha,Western,Historic garden where the first rubber trees in Asia were successfully cultivated.,Gardens,7.0505,79.7102
Gampaha Botanical Garden,Gampaha,Western,Medicinal plant garden with hundreds of species used in traditional Ayurvedic medicine.,Gardens,6.9734,79.9419
Dry Zone Botanical Gardens,Hambantota,Southern,Specialized garden showcasing plants adapted to Sri Lanka's dry climate regions.,Gardens,6.0272,80.2383
Mirijjawila Botanical Garden,Hambantota,Southern,Newest botanical garden focused on dry and arid zone flora with butterfly garden.,Gardens,6.0374,80.4177
Seethawaka Wet Zone Botanical Garden,Avissawella,Western,Garden preserving threatened plants of Sri Lanka's wet zone rainforests.,Gardens,6.7750,79.7451
Dambulla Dedicated Economic Centre Garden,Dambulla,Central,Commercial plants and vegetable demonstration garden at agricultural trading hub.,Gardens,7.8729,80.6510
Matale Spice Garden,Matale,Central,"Educational garden showcasing cinnamon, cardamom, pepper and other spice plants.",Gardens,7.3833,80.5354
Euphoria Spice and Herbal Garden,Matale,Central,Traditional spice garden with medicinal plants and processing demonstrations.,Gardens,7.1272,80.5762
New Colonial Spice Garden,Kandy,Central,Interactive spice garden with culinary demonstrations and traditional medicine displays.,Gardens,7.2906,80.6337
Lunuganga Estate Gardens,Bentota,Southern,Geoffrey Bawa's personal garden estate with architectural landscaping features.,Gardens,6.4213,79.9989
Brief Garden,Bentota,Southern,"Bevis Bawa's fantastical garden with sculptures, ponds, and artistic landscape design.",Gardens,6.4213,79.9989
Lady Horton's Walk,Kandy,Central,Historic hillside garden with walking paths and panoramic views of Kandy.,Gardens,7.2906,80.6337
Victoria Park,Nuwara Eliya,Central,Colonial-era public garden with seasonal flower displays and manicured lawns.,Gardens,6.9497,80.7891
Viharamahadevi Park,Colombo,Western,"Colombo's largest public park with flowering trees, water features, and play areas.",Gardens,6.9271,79.8612
Japanese Peace Pagoda Garden,Unawatuna,Southern,Zen-influenced garden surrounding the hilltop white pagoda with coastal views.,Gardens,6.0169,80.2496
Katuwana Herbal Garden,Katuwana,Southern,Educational center for indigenous medicinal plants used in traditional healing.,Gardens,5.9914,80.0969
Lotus Tower Garden,Colombo,Western,Modern landscaped garden surrounding Sri Lanka's tallest structure.,Gardens,6.9271,79.8612
Udawatta Kele Sanctuary,Kandy,Central,Historic royal forest garden adjacent to the Temple of the Tooth with walking trails.,Gardens,7.2906,80.6337
Waters Edge Garden,Colombo,Western,"Manicured lakeside gardens with water features, topiary and recreation areas.",Gardens,6.9271,79.8612
Helga's Folly Garden,Kandy,Central,Eclectic artistic garden with surreal sculptures and tropical plantings.,Gardens,7.2906,80.6337
Millennium Elephant Foundation Garden,Kegalle,Sabaragamuwa,Botanical collection focusing on elephant-friendly plants and foraging species.,Gardens,6.8379,80.4806
Dilmah Conservation Heritage Garden,Colombo,Western,Garden showcasing Sri Lanka's agricultural heritage plants and tea varieties.,Gardens,6.9271,79.8612
Sembuwatta Lake Garden,Elkaduwa,Central,Landscaped garden surrounding a stunning blue lake with viewpoints and facilities.,Gardens,7.3368,80.7653
Beruwala Ayurveda Garden,Beruwala,Western,Living collection of medicinal herbs used in traditional Sri Lankan medicine.,Gardens,7.1225,79.9645
Ranawana Arboretum,Kuruwita,Sabaragamuwa,Educational forest garden owned by the Institute of Indigenous Medicine.,Gardens,6.5640,80.5673
Galle Fort Rampart Garden,Galle,Southern,Colonial garden along the historic fort walls with ocean views and sea breeze.,Gardens,6.0535,80.2210
Negombo Lagoon Garden,Negombo,Western,Waterfront garden with mangrove species and coastal ecosystem plants.,Gardens,7.2008,79.8737
Dambana Indigenous Plant Garden,Mahiyangana,Uva,Garden maintained by Vedda indigenous people showcasing traditional plant uses.,Gardens,6.9738,81.2248
Pidurutalagala Sanctuary Garden,Nuwara Eliya,Central,Mountain garden with rare high-altitude plant species and misty landscapes.,Gardens,6.9497,80.7891
Colombo Port City Marina Gardens,Colombo,Western,New development of modern landscaped spaces with harbor views and public art.,Gardens,6.9271,79.8612
